doggo_name,doggo_pic_url,url_source
Pepper (AL),https://cdn.rescuegroups.org/7015/pictures/animals/19859/19859312/96873975.jpg,"toolkitFocusPet_0(0, 19859312, 86);return false;"
Amber (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19063/19063372/96208303.jpg,"toolkitFocusPet_0(0, 19063372, 87);return false;"
Daisy (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19088/19088168/93343847.jpg,"toolkitFocusPet_0(0, 19088168, 88);return false;"
Bella (AL),https://cdn.rescuegroups.org/7015/pictures/animals/19158/19158845/93593526.jpg,"toolkitFocusPet_0(0, 19158845, 89);return false;"
Cuddles (TX),https://cdn.rescuegroups.org/7015/pictures/animals/18581/18581918/94873640.jpg,"toolkitFocusPet_0(0, 18581918, 90);return false;"
Nugget (GA),https://cdn.rescuegroups.org/7015/pictures/animals/18591/18591556/92101716.jpg,"toolkitFocusPet_0(0, 18591556, 91);return false;"
Lotus (GA),https://cdn.rescuegroups.org/7015/pictures/animals/19899/19899304/97961141.jpg,"toolkitFocusPet_0(0, 19899304, 92);return false;"
Oliver (GA),https://cdn.rescuegroups.org/7015/pictures/animals/19941/19941365/97272684.jpg,"toolkitFocusPet_0(0, 19941365, 93);return false;"
Princess1 (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19947/19947132/97020102.jpg,"toolkitFocusPet_0(0, 19947132, 94);return false;"
Blue (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19947/19947241/98081793.jpg,"toolkitFocusPet_0(0, 19947241, 95);return false;"
Gunner (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19947/19947830/97750178.jpg,"toolkitFocusPet_0(0, 19947830, 96);return false;"
Whistler (GA),https://cdn.rescuegroups.org/7015/pictures/animals/19971/19971887/97698154.jpg,"toolkitFocusPet_0(0, 19971887, 97);return false;"
Willie (GA),https://cdn.rescuegroups.org/7015/pictures/animals/19971/19971895/97796026.jpg,"toolkitFocusPet_0(0, 19971895, 98);return false;"
Wes (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20009/20009925/97620997.jpg,"toolkitFocusPet_0(0, 20009925, 99);return false;"
Rain,https://cdn.rescuegroups.org/1861/pictures/animals/20022/20022546/97229221.jpg,"toolkitFocusPet_0(0, 20022546, 100);return false;"
Mojo (AL),https://cdn.rescuegroups.org/7015/pictures/animals/19563/19563024/97744083.jpg,"toolkitFocusPet_0(0, 19563024, 101);return false;"
Malibu (AL),https://cdn.rescuegroups.org/7015/pictures/animals/19563/19563027/97991431.jpg,"toolkitFocusPet_0(0, 19563027, 102);return false;"
Macy (AL),https://cdn.rescuegroups.org/7015/pictures/animals/19563/19563183/97516071.jpg,"toolkitFocusPet_0(0, 19563183, 103);return false;"
Banzai (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19568/19568092/97782072.jpg,"toolkitFocusPet_0(0, 19568092, 104);return false;"
Omari (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19619/19619371/97620821.jpg,"toolkitFocusPet_0(0, 19619371, 105);return false;"
Kari (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20055/20055999/97601919.jpg,"toolkitFocusPet_0(0, 20055999, 106);return false;"
Bronx (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20092/20092519/98133193.jpg,"toolkitFocusPet_0(0, 20092519, 107);return false;"
Dodger (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20092/20092522/98065756.jpg,"toolkitFocusPet_0(0, 20092522, 108);return false;"
Barney (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20115/20115260/98184062.jpg,"toolkitFocusPet_0(0, 20115260, 109);return false;"
Betty (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20115/20115261/98184052.jpg,"toolkitFocusPet_0(0, 20115261, 110);return false;"
Kimmie (AL),https://cdn.rescuegroups.org/7015/pictures/animals/20125/20125700/98207036.jpg,"toolkitFocusPet_0(0, 20125700, 111);return false;"
Kaleb (AL),https://cdn.rescuegroups.org/7015/pictures/animals/20125/20125707/97836122.jpg,"toolkitFocusPet_0(0, 20125707, 112);return false;"
Jojo (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20141/20141375/97684332.jpg,"toolkitFocusPet_0(0, 20141375, 113);return false;"
Waffles (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20142/20142412/97868537.jpg,"toolkitFocusPet_0(0, 20142412, 114);return false;"
Jean (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20142/20142629/98085748.jpg,"toolkitFocusPet_0(0, 20142629, 115);return false;"
June (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20142/20142668/98110555.jpg,"toolkitFocusPet_0(0, 20142668, 116);return false;"
Joey (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20142/20142670/98110549.jpg,"toolkitFocusPet_0(0, 20142670, 117);return false;"
Suki (AL),https://cdn.rescuegroups.org/7015/pictures/animals/20142/20142730/97920086.jpg,"toolkitFocusPet_0(0, 20142730, 118);return false;"
Jake (TX1),https://cdn.rescuegroups.org/7015/pictures/animals/20142/20142733/97629548.jpg,"toolkitFocusPet_0(0, 20142733, 119);return false;"
Vienna (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20143/20143333/98194057.jpg,"toolkitFocusPet_0(0, 20143333, 120);return false;"
Pippa (SC),https://cdn.rescuegroups.org/7015/pictures/animals/20150/20150822/98092161.jpg,"toolkitFocusPet_0(0, 20150822, 121);return false;"
Donny (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20152/20152949/97944132.jpg,"toolkitFocusPet_0(0, 20152949, 122);return false;"
Reese (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20153/20153985/98184426.jpg,"toolkitFocusPet_0(0, 20153985, 123);return false;"
Rina (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20153/20153992/98211654.jpg,"toolkitFocusPet_0(0, 20153992, 124);return false;"
Robin (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20153/20153994/98184070.jpg,"toolkitFocusPet_0(0, 20153994, 125);return false;"
Stetson (AL),https://cdn.rescuegroups.org/7015/pictures/animals/20153/20153995/98018418.jpg,"toolkitFocusPet_0(0, 20153995, 126);return false;"
Ruby (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20154/20154014/97867326.jpg,"toolkitFocusPet_0(0, 20154014, 127);return false;"
Simba (AL),https://cdn.rescuegroups.org/7015/pictures/animals/20154/20154027/98174285.jpg,"toolkitFocusPet_0(0, 20154027, 128);return false;"
Mocha (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20156/20156807/97979258.jpg,"toolkitFocusPet_0(0, 20156807, 129);return false;"
Lena (GA),https://cdn.rescuegroups.org/7015/pictures/animals/20165/20165850/97717512.jpg,"toolkitFocusPet_0(0, 20165850, 130);return false;"
Citrus (TX),https://cdn.rescuegroups.org/7015/pictures/animals/20167/20167792/97819960.jpg,"toolkitFocusPet_0(0, 20167792, 131);return false;"
Dax (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19354/19354468/95179288.jpg,"toolkitFocusPet_0(0, 19354468, 132);return false;"
Dex (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19354/19354471/95258351.jpg,"toolkitFocusPet_0(0, 19354471, 133);return false;"
Wrangler (TX),https://cdn.rescuegroups.org/7015/pictures/animals/19354/19354484/94471193.jpg,"toolkitFocusPet_0(0, 19354484, 134);return false;"
Ryleigh (AL),https://cdn.rescuegroups.org/7015/pictures/animals/19389/19389482/96194009.jpg,"toolkitFocusPet_0(0, 19389482, 135);return false;"
